Record_ID,Accounting_Year,Accounting_Quarter,Accounting_Month,Accounting_Period,Underwriting_Year,Accident_Year,Booking_Date,Region,Market_Unit,Country,Business_Segment,Main_Line_of_Business,Line_of_Business,Type_of_Business,Cedent_ID,Cedent_Name,Broker,Client_Management_ID,Client_Manager,UW_Portfolio,Client_Executive,IFRS_Classification,PCSS_Type,P_Zero_Flag,Renewal_Category,Direction_of_Business,Premium,Claims,Commission,Expenses,Technical_Result,Net_Premium,Loss_Ratio,Expense_Ratio,Combined_Ratio
FIN00008801,2023,Q4,11,2023-11,2022,2022,05-11-2023,EMEA,Spain,Spain,REPC,P&C Re,Workers Compensation,Non-Property Treaty,CED0059,Liberty Indemnity,Castlerock Risk Solutions,CM9998,Laura Nkosi,Specialty Lines,Christopher Lindberg,102,Trust,Yes,New Business,Outward,402209.9,267778.9,48884.14,14176.52,71370.33,353325.76,0.6658,0.0352,0.701
FIN00024062,2026,Q2,5,2026-05,2026,2026,07-05-2026,Asia,ANZ,Australia,REPC,Property,Energy,Property Facultative,CED0070,Northstar Assurance,Delacroix & Associates,CM6885,Fatima Chen,Marine Cargo,Frank Callahan,101,Trust,No,Renewal,Inward,214289.05,131285.75,18016.21,16789.3,48197.78,196272.84,0.6127,0.0783,0.691
FIN00001145,2025,Q3,8,2025-08,2025,2025,21-08-2025,EMEA,Spain,Spain,REPC,Property,Construction,Property Facultative,CED0091,Redwood Insurance Group,Cornerstone Risk Partners,CM9986,Daniel Hassan,Space & Satellite,Henry Cartwright,201,Trust,No,New Business,Inward,720429.22,497449.71,108745.44,39566,74668.07,611683.78,0.6905,0.0549,0.7454
FIN00002704,2024,Q3,7,2024-07,2024,2024,20-07-2024,Americas,US,United States,REPC,Property,Property,Direct Insurance,CED0077,Paramount Casualty,Farringdon Risk Partners,CM7535,Yuki O'Connell,Cyber Risk,Frank Callahan,101,Trust,Yes,Renewal,Inward,175058.44,132201.21,10689.12,9643.74,22524.38,164369.32,0.7552,0.0551,0.8103
FIN00005543,2023,Q2,6,2023-06,2023,2023,19-06-2023,Asia,Korea,South Korea,REPC,Casualty,Motor,Non-Property Facultative,CED0027,Evergreen Holdings,Baymont Risk Partners,CM8524,Priya Novak,Environmental Risk,Monica Petrov,101,Trust,No,Renewal,Inward,73466.91,52153.37,8609.08,7205.93,5498.52,64857.83,0.7099,0.0981,0.808
FIN00049592,2024,Q3,9,2024-09,2024,2024,19-09-2024,EMEA,Germany,Germany,REPC,Property,Property,Direct Insurance,CED0102,Sterling Re,Fenwick & Associates,CM7211,Michael Lindqvist,Construction,William Holloway,101,Trust,No,Renewal,Inward,247693.02,156661.79,17403.1,11304.9,62323.23,230289.92,0.6325,0.0456,0.6781
FIN00048447,2025,Q4,12,2025-12,2025,2025,26-12-2025,Americas,US,United States,REPC,P&C Re,Liability,Non-Property Treaty,CED0049,Highland Insurance,Radcliffe Group,CM9228,Yuki Marchetti,Environmental Risk,Isabelle Achebe,101,Non Trust,No,Cancelled,Inward,32321.4,21661.35,1796.87,1024.11,7839.07,30524.53,0.6702,0.0317,0.7019
FIN00004720,2024,Q3,7,2024-07,2023,2023,03-07-2024,EMEA,France,France,REPC,Casualty,Liability,Direct Insurance,CED0076,Paramount Assurance,Northgate Insurance Services,CM3610,Fatima Chen,Marine Global,Grace Salazar,101,Non Trust,No,Cancelled,Outward,93785.06,62105.97,10917.08,10792.8,9969.21,82867.98,0.6622,0.1151,0.7773
FIN00033260,2026,Q1,1,2026-01,2026,2026,01-01-2026,Americas,Canada,Canada,REPC,Casualty,Liability,Direct Insurance,CED0052,Horizon General Insurance  ,Lockwood Risk Solutions,CM9483,Peter Nakamura,Marine Cargo,Grace Salazar,101,Non Trust,No,Renewal,Inward,725740.23,475563.54,90427.12,72493.75,87255.82,635313.11,0.6553,0.0999,0.7552
FIN00036802,2023,Q3,7,2023-07,2022,2022,11-07-2023,Asia,Korea,South Korea,REPC,Property,Engineering,Property Treaty,CED0089,Quantum Underwriters,Ivory Risk Solutions,CM6766,Marcus Lindqvist,Motor Fleet,George Simmons,101,Non Trust,Yes,New Business,Inward,127182.77,85324.67,15702.04,,15518.61,111480.73,0.6709,0.0836,0.7545
FIN00026851,2023,Q1,3,2023-03,2023,2023,20-03-2023,Asia,India,India,REPC,P&C Facultative,Construction,Property Facultative,CED0074,Oakland Indemnity,Camden Risk Solutions,CM1092,Sarah O'Connell,Financial Risk,Oscar Bennet,102,Non Trust,No,Cancelled,Inward,8804.61,1981.31,1011.58,346.55,5465.16,7793.03,0.225,0.0394,0.2644
FIN00031350,2024,Q3,7,2024-07,2024,2024,23-07-2024,Asia,Japan,Japan,REPC,Casualty,Liability,Direct Insurance,CED0082,Pinnacle Indemnity,Hartwell Insurance Brokers,CM8150,,Property Cat,Frank Callahan,101,Trust,No,Renewal,Inward,50000,22621.84,3087.89,5586.11,18704.16,46912.11,0.4524,0.1117,0.5642
FIN00008294,2024,Q4,11,2024-11,2024,2024,26-11-2024,Asia,China,China,REPC,P&C Re,Property,Property Treaty,CED0117,Zenith Assurance,Sherwood Group,CM7998,Sarah Bauer,Liability Excess,Oscar Bennet,102,Trust,No,New Business,Inward,245219.13,155406.82,17790.42,22606.66,49415.22,227428.71,0.6337,0.0922,0.7259
FIN00020172,2023,Q3,8,2023-08,2023,2023,05-08-2023,Asia,Japan,Japan,REPC,Casualty,Workers Compensation,Direct Insurance,CED0075,Pacific Assurance,Northgate Insurance Services,CM3495,Priya Wallace,Energy APAC,Isabelle Achebe,101,Non Trust,No,Renewal,Inward,366963.41,260622.39,56636,27950.71,21754.3,310327.41,0.7102,0.0762,0.7864
FIN00025715,2025,Q1,3,2025-03,2025,2025,01-03-2025,Asia,Hong Kong,Hong Kong,REPC,Specialty,Marine,Direct Insurance,CED0020,Cornerstone Re,Vantage Insurance Services,CM2388,Robert Alvi,Marine Cargo,,101,Trust,Yes,Renewal,Inward,377682.17,191384.09,19224.63,24356.42,142717.03,358457.54,0.5067,0.0645,0.5712
FIN00046358,2023,Q2,6,2023-06,2023,2023,18-06-2023,Asia,Korea,South Korea,REPC,Property,Engineering,Property Treaty,CED0084,Pinnacle Mutual,Cornerstone Risk Advisors,CM2063,Nadia Kowalski,Property Treaty Americas,Martin Weston,102,Non Trust,No,Renewal,Outward,159510.75,93621.97,20581.15,7396.04,37911.58,138929.59,0.5869,0.0464,0.6333
FIN00003828,2026,Q2,4,2026-04,2026,2025,17-04-2026,Asia,India,India,REPC,Casualty,Motor,Direct Insurance,CED0075,Pacific Assurance,Hartwell Insurance Brokers,CM9998,James Chen,Retail Casualty,William Holloway,102,Non Trust,Yes,New Business,Inward,622859.59,468249.65,88980.14,34140.88,31488.92,533879.45,0.7518,0.0548,0.8066
FIN00038822,2023,Q1,1,2023-01,2023,2023,14-01-2023,EMEA,UK,United Kingdom,REPC,P&C Re,Property,Property Treaty,CED0045,Harbor Insurance,Yorkshire Risk Advisors,CM6889,Michael Nkosi,Corporate Property,Anjali Verma,101,Non Trust,No,Renewal,Outward,301836.54,202283.5,40397.17,9743.91,49411.97,261439.37,0.6702,0.0323,0.7025
FIN00038519,2024,Q1,3,2024-03,2024,2024,21-03-2024,EMEA,UK,United Kingdom,REPC,Specialty,Cyber,Non-Property Facultative,CED0075,Pacific Assurance,Camden Risk Solutions,CM3440,Laura Nkosi,Construction & Engineering EMEA,Anjali Verma,201,Trust,No,New Business,Inward,416788.39,131403.62,24883.23,28997.87,231503.68,391905.16,0.3153,0.0696,0.3849
FIN00029565,2025,Q1,3,2025-03,2025,2025,03-03-2025,Americas,Canada,Canada,REPC,P&C Re,Property,Property Treaty,CED0023,Delta Assurance,Highbridge Risk Solutions,CM9758,Fatima Lindqvist,Political & Credit Risk,Karen Vasquez,101,Trust,No,Renewal,Outward,614766.86,370172.09,71418.89,44322.23,128853.66,543347.98,0.6021,0.0721,0.6742
FIN00048125,2024,Q3,9,2024-09,2024,2024,10-09-2024,EMEA,Italy,Italy,REPC,P&C Re,Liability,Non-Property Treaty,CED0039,Granite General Insurance,Northgate Insurance Services,CM1379,Robert Alvi,Marine Global,Richard Thornton,101,Trust,No,Renewal,Inward,84070.61,54458.26,5512.39,5360.74,18739.22,78558.21,0.6478,0.0638,0.7115
FIN00019220,2023,Q1,2,2023-02,2022,2022,14-02-2023,Asia,ANZ,Australia,REPC,Property,Engineering,Property Facultative,CED0078,Paramount General Insurance,Hartwell Insurance Brokers,CM2774,James Chen,Construction & Engineering EMEA,Christopher Lindberg,101,Non Trust,No,Renewal,Inward,149166.37,57614.28,8951.88,13212.64,69387.57,140214.49,0.3862,0.0886,0.4748
FIN00009572,2025,Q3,8,2025-08,2025,2025,24-08-2025,Asia,Hong Kong,Hong Kong,REPC,Property,Energy,Direct Insurance,CED0024,Delta Casualty,Baymont Risk Solutions,CM8323,Priya Wallace,Engineering Global,Susanna Ibsen,101,Trust,No,Renewal,Inward,631219.18,437803.32,87760.51,29665.24,75990.11,543458.67,0.6936,0.047,0.7406
FIN00041967,2025,Q4,12,2025-12,2025,2025,07-12-2025,Asia,China,China,REPC,P&C Facultative,Liability,Non-Property Facultative,CED0111,Vanguard General Insurance,Baymont Risk Solutions,CM3586,Laura Nkosi,Energy Upstream,Frank Callahan,101,Non Trust,No,Renewal,Inward,311553.99,249503.47,44667.33,25259.65,-7876.46,266886.66,0.8008,0.0811,0.8819
FIN00043822,2024,Q2,5,2024-05,2024,2024,24-05-2024,EMEA,Spain,Spain,REPC,P&C Re,Energy,Property Treaty,CED0106,Titan Re,Thackeray Risk Advisors,CM8987,Fatima Lindqvist,Marine Global,Henry Cartwright,101,Trust,No,Renewal,Inward,531683,352295.67,89544.76,57788.18,32054.38,442138.24,0.6626,0.1087,0.7713
FIN00018532,2025,Q3,8,2025-08,2025,2025,30-08-2025,EMEA,Italy,Italy,REPC,Specialty,Credit & Surety,Non-Property Treaty,CED0095,Riverside Underwriters,Pinnacle Insurance Brokers,CM7943,Yuki Marchetti,Motor Fleet,Monica Petrov,101,Trust,No,Renewal,Inward,295444.35,148110.86,15137.79,23396.11,108799.59,280306.56,0.5013,0.0792,0.5805
FIN00004228,2023,Q2,6,2023-06,2023,2023,13-06-2023,Americas,Canada,Canada,REPC,P&C Re,Agriculture,Non-Property Treaty,CED0063,Lonestar Indemnity,Hartwell Insurance Brokers,CM5388,Steven Nakagawa,Liability Excess,Richard Thornton,102,Trust,Yes,Renewal,Inward,382336.01,255519.83,26291.15,19273.29,81251.73,356044.86,0.6683,0.0504,0.7187
FIN00048946,2023,Q2,5,2023-05,2023,2023,14-05-2023,Americas,Canada,Canada,REPC,P&C Facultative,Liability,Non-Property Facultative,CED0118,Zenith Holdings,Pinnacle Risk Advisors,CM2262,Sarah O'Connell,Workers Comp National,George Simmons,102,Non Trust,No,New Business,Inward,148783.5,109570.15,9225.99,4552.11,25435.26,139557.51,0.7364,0.0306,0.767
FIN00001660,2025,Q4,12,2025-12,2025,2025,10-12-2025,Americas,US,United States,REPC,Casualty,Accident & Health,Non-Property Treaty,CED9999,Unknown Cedent,Camden Risk Solutions,CM8049,Michael Nkosi,Marine Cargo,Karen Vasquez,101,Trust,No,Renewal,Inward,589324.52,464164.94,102701.81,16510.12,5947.65,486622.71,0.7876,0.028,0.8156
FIN00004828,2024,Q2,6,2024-06,2024,2024,07-06-2024,Asia,ANZ,Australia,REPC,Vector,Political Risk,Non-Property Facultative,CED0023,Delta Assurance,Lockwood Risk Partners,CM8522,,Motor Fleet,Susanna Ibsen,101,Non Trust,Yes,New Business,Inward,1184716.86,818719.69,141367.07,127708.82,96921.28,1043349.79,0.6911,0.1078,0.7989
FIN00016854,2025,Q1,3,2025-03,2025,2025,09-03-2025,Asia,ANZ,Australia,REPC,P&C Facultative,Property,Property Facultative,CED0103,Summit Casualty,Ivory Risk Solutions,CM6138,Peter Nakamura,Space & Satellite,Isabelle Achebe,101,Non Trust,No,Renewal,Inward,68788.39,53083.34,9539.81,7865.81,-1700.58,59248.58,0.7717,0.1143,0.886
FIN00043584,2024,Q4,11,2024-11,2024,2024,11-11-2024,EMEA,Nordics,Sweden,REPC,Property,Construction,Direct Insurance,CED0046,Harbor Insurance Group,Glendale Insurance Brokers,CM8473,,casualty excess,Frank Callahan,201,Non Trust,No,Renewal,Inward,152081.24,66956.01,24497.27,8785.95,51842.01,127583.97,0.4403,0.0578,0.498
FIN00012262,2024,Q2,5,2024-05,2023,2021,21-05-2024,EMEA,UK,United Kingdom,REPC,P&C Re,Workers Compensation,Non-Property Treaty,CED0119,Zenith Insurance Group,FAIRVIEW RISK SOLUTIONS,CM7014,Steven Park,Trade Credit & Surety,Anjali Verma,102,Trust,No,Renewal,Inward,813886.21,573629.11,49658.84,16558.3,174039.96,764227.37,0.7048,0.0203,0.7251
FIN00034621,2026,Q2,6,2026-06,2026,2026,22-06-2026,EMEA,France,France,REPC,Specialty,Surety,Direct Insurance,CED0065,Meadowbrook Holdings,Grayson Risk Solutions,CM3125,Fatima Costa,Space & Satellite,Grace Salazar,101,Trust,No,Renewal,Inward,191850.8,90168.01,27267.57,8352.01,66063.21,164583.23,0.47,0.0435,0.5135
FIN00023656,2026,Q1,3,2026-03,2026,2026,11-03-2026,Americas,US,United States,REPC,Property,Environmental,Direct Insurance,CED0034,Fortress Re,Blackstone Insurance Services,CM4917,Sarah Bauer,Construction & Engineering EMEA,Richard Thornton,201,Trust,No,Cancelled,Outward,14698.63,5831.36,1544.55,342.98,6979.74,13154.08,0.3967,0.0233,0.4201
FIN00038853,2023,Q3,7,2023-07,2023,2023,16-07-2023,Americas,Canada,Canada,REPC,Casualty,Accident & Health,Direct Insurance,CED0029,Falcon Holdings,Northgate Insurance Services,CM3625,Michael Nkosi,Political & Credit Risk,Oscar Bennet,102,Non Trust,No,Renewal,Inward,293569.98,184762.92,42281.05,25985.39,40540.62,251288.93,0.6294,0.0885,0.7179
FIN00031297,2025,Q1,3,2025-03,2025,2025,26-03-2025,Asia,Korea,South Korea,REPC,Specialty,Marine,Direct Insurance,CED0008,Atlas Insurance Group,Grayson Risk Solutions,CM4276,Fatima Chen,Retail Casualty,Anjali Verma,102,Non Trust,No,New Business,Inward,170036.8,82998.89,23792,15140.27,48105.63,146244.79,0.4881,0.089,0.5772
FIN00007547,2024,Q1,2,2024-02,2024,2024,24-02-2024,EMEA,Germany,Germany,REPC,Casualty,Workers Compensation,Direct Insurance,CED0024,Delta Casualty,Ivory Risk Solutions,CM4385,Hana Bianchi,Cyber Risk,Henry Cartwright,101,Non Trust,Yes,New Business,Outward,147020.4,130010.68,26321.47,15086.39,-24398.14,120698.94,0.8843,0.1026,0.9869
FIN00028957,2025,Q2,4,2025-04,2025,2024,28-04-2025,Americas,US,United States,REPC,Property,Engineering,Direct Insurance,CED0093,Riverside General Insurance,Blackstone Insurance Brokers,CM1558,Steven Nakagawa,Engineering Global,Martin Weston,101,Non Trust,Yes,Renewal,Inward,181989.31,90196.24,17830.12,16993.09,56969.86,164159.19,0.4956,0.0934,0.589
FIN00013126,2025,Q1,3,2025-03,2025,2025,08-03-2025,Asia,ANZ,Australia,REPC,Specialty,Financial Lines,Direct Insurance,CED0011,Bridgeport Assurance,Pinnacle Insurance Brokers,CM3073,Sarah O'Connell,Trade Credit & Surety,William Holloway,101,Trust,Yes,New Business,Inward,1200290.93,589616.39,64223.71,63050.55,483400.28,1136067.22,0.4912,0.0525,0.5438
FIN00019773,2025,Q3,7,2025-07,2024,2024,02-07-2025,Asia,Korea,South Korea,REPC,Specialty,Political Risk,Non-Property Facultative,CED0118,Zenith Holdings,Cornerstone Risk Advisors,CM3849,Hana Bianchi,Motor Fleet,Monica Petrov,101,Trust,No,Cancelled,Inward,12658.47,7448.94,1656.37,493.5,3059.66,11002.1,0.5885,0.039,0.6274
FIN00035134,2023,Q4,10,2023-10,2023,2023,03-10-2023,Asia,Japan,Japan,REPC,Casualty,Accident & Health,Non-Property Treaty,CED0109,Union Indemnity,Vantage Insurance Services,CM3778,Steven Nakagawa,Corporate Property,Martin Weston,101,Non Trust,No,Renewal,Outward,331683.36,197340.45,56439.73,24312.4,53590.77,275243.62,0.595,0.0733,0.6683
FIN00028002,2026,Q2,4,2026-04,2026,2026,14-04-2026,Asia,Japan,Japan,REPC,Casualty,Liability,Direct Insurance,CED0051,Horizon Assurance,Cornerstone Risk Partners,CM9499,Daniel Hassan,Energy APAC,Martin Weston,101,Non Trust,No,Renewal,Outward,1237122.75,734957.21,168487.42,42899.67,290778.45,1068635.33,0.5941,0.0347,0.6288
FIN00042933,2023,Q3,8,2023-08,2023,2023,04-08-2023,Americas,US,United States,REPC,P&C Facultative,Energy,Property Facultative,CED0056,Keystone Insurance,Prescott Insurance Services,CM9818,Fatima Lindqvist,Engineering Global,Renata Moreau,102,Trust,No,Renewal,Inward,306570.59,245301.82,24778.1,23961.16,12529.51,281792.49,0.8001,0.0782,0.8783
FIN00020189,2026,Q3,7,2026-07,2026,2026,20-07-2026,EMEA,France,France,REPC,Vector,Political Risk,Non-Property Treaty,CED0012,Bridgeport General Insurance,CHADWICK RISK ADVISORS,CM9949,Sarah O'Connell,Property Facultative,Isabelle Achebe,102,Trust,No,Renewal,Inward,353307.13,180134.55,35708.17,12979.38,124485.02,317598.96,0.5099,0.0367,0.5466
FIN00013168,2026,Q3,7,2026-07,2026,2026,07-07-2026,EMEA,France,France,REPC,Specialty,Aviation,Non-Property Treaty,CED0058,Landmark Indemnity,Fenwick & Associates,CM3362,Peter Nakamura,Aviation,Grace Salazar,101,Trust,Yes,Renewal,Inward,850921.91,602619.23,79158.62,95615.42,73528.64,771763.29,0.7082,0.1124,0.8206
FIN00000959,2024,Q3,8,2024-08,2024,2024,15-08-2024,Asia,Korea,South Korea,REPC,Specialty,Financial Lines,Non-Property Facultative,CED0102,Sterling Re,Hartwell Insurance Brokers,CM1396,Steven Nakagawa,Political & Credit Risk,Henry Cartwright,101,Trust,No,Renewal,Inward,1658420.39,774006.68,218033.6,53333.65,613046.46,1440386.79,0.4667,0.0322,0.4989
FIN00021052,2025,Q3,9,2025-09,2025,2025,19-09-2025,EMEA,Nordics,Sweden,REPC,Property,Environmental,Direct Insurance,CED0049,Highland Insurance,Pinnacle Re Solutions,CM7016,Brian Lindqvist,Marine Cargo,Renata Moreau,102,Trust,No,New Business,Outward,111769.18,48554.54,14552.29,7674,40988.35,97216.9,0.4344,0.0687,0.5031
FIN00029807,2025,Q3,8,2025-08,2025,2025,29-08-2025,EMEA,Nordics,Sweden,REPC,P&C Facultative,Engineering,Property Facultative,CED0025,delta indemnity,Ivory Risk Solutions,CM3948,Hana Bianchi,Construction & Engineering EMEA,Richard Thornton,101,Non Trust,No,Renewal,Inward,108586.4,69893,15482.27,3603.25,19607.87,93104.13,0.6437,0.0332,0.6768
FIN00041000,2024,Q2,4,2024-04,2024,2023,17-04-2024,EMEA,Middle East,United Arab Emirates,REPC,P&C Re,Property,Property Treaty,CED0111,Vanguard General Insurance,Hartwell Insurance Brokers,CM2996,Laura Nkosi,Property Treaty Americas,Martin Weston,101,Non Trust,No,Renewal,Inward,367886.49,222036.64,35120.44,17392.72,93336.69,332766.06,0.6035,0.0473,0.6508
